title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,897 ratings,In Stock.
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,182 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,796 ratings",
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"40,693 ratings",Not Available
PAC-MAN World Re-PAC - PlayStation 4,$29.99,4.8 out of 5 stars,69 ratings,In Stock.
"Wireless Controller for PS3, Controller for Playstation 3, Wireless Bluetooth Gamepad with USB Charger Cable for PS3 Console, 2 Pack(Black)",,4.4 out of 5 stars,"1,094 ratings",Not Available
Marvel’s Spider-Man - Playstation 4 (PS4),$37.99,4.7 out of 5 stars,"1,859 ratings",Not Available
Sony Playstation 4 Slim Video Game Console 500GB Jet Black PS4,,4.5 out of 5 stars,238 ratings,Not Available
Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,,4.5 out of 5 stars,252 ratings,Not Available
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,242 ratings",In Stock.
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,595 ratings",In Stock.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,297 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"142,388 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$59.99,4.7 out of 5 stars,"142,388 ratings",In Stock.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.50,4.7 out of 5 stars,"142,388 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$64.00,4.7 out of 5 stars,"142,388 ratings",Not Available
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,768 ratings",Not Available
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3 out of 5 stars,653 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$59.99,4.7 out of 5 stars,"142,388 ratings",In Stock.
【Upgraded】 Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.6 out of 5 stars,87 ratings,Not Available
"OUBANG 2 Pack Controllers Work with PS4 Controller, Wireless Remote Compatible with Playstation 4 Controller, Game Control for PS4 Pro with Joystick, Pa4 Controller for PS4 Slim/PC Camo Gray Gift Men",,4.3 out of 5 stars,18 ratings,Not Available
"AUGEX Blind Box Controller Compatible with PS4, 2 Pack Wireless Controller for Playstation 4, Random Color from 6 Combinations of 2 Pack Remote PS4（Color Can Not Be Chosen）",,4.2 out of 5 stars,21 ratings,Not Available
PlayStation PS5 Console – God of War Ragnarök Bundle,,4.8 out of 5 stars,"1,475 ratings",Available by invitation
"Heiko Wireless Controller Compatible with PS4 / PS4 Slim / PS4 Pro & PC, Enhanced Dualshock PS4 Controller with 1200mAH Battery, 6-Axis Gyro Sensor, Game Controller (Blue Cloud)",$28.99,4.5 out of 5 stars,14 ratings,Not Available
Sonic Frontiers - PlayStation 4,$39.99,4.7 out of 5 stars,118 ratings,In Stock.
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,768 ratings",Not Available
TIANHOO Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Function,,4.3 out of 5 stars,653 ratings,Not Available
"PS4 Fan Cooling Fan with Controller Charger Compatible with Playstation 4/PS4 Slim/PS4 Pro, PS4 Stand Vertical Cooling Station for PS4 Accessories,PS4 Pro Cooling Fan with Dual Charger & 12 Game Slots",,4.3 out of 5 stars,"1,153 ratings",Not Available
"Heiko Wireless Controller Compatible with PS4 / PS4 Slim / PS4 Pro & PC, Enhanced Dualshock PS4 Controller with 1200mAH Battery, 6-Axis Gyro Sensor, Game Controller (Red Cloud)",$28.99,4.6 out of 5 stars,11 ratings,Not Available
【Upgraded】 Wireless Controller Compatible with PS4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.6 out of 5 stars,87 ratings,Not Available
"PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Vertical Stand with Dual Controller Port Charger Dock Station, 12 Game Slots, USB Fast Charging Station with LED Indicator",$27.99,3.5 out of 5 stars,13 ratings,Not Available
"STOGA Wireless Controller for PS4, Controller for PS4 with Touch Panel Gamepad, Turbo and Audio Jack , Joystick Controller for PS4, Gaming Controller Remote for PS3/PS4,Electric Purple",$22.99,3.9 out of 5 stars,324 ratings,Not Available
"AC Power Cord Cable Compatible for Sony PS4 PS3 Playstation 4 3 Slim, Xbox One S, Xbox One X Edition Game Console Sharp TV AC Wall Cable Supply",,4.7 out of 5 stars,75 ratings,Not Available
